[GVNS-Pw(w1=0.80,w2=0.20)] Iter 53: Novo melhor! F=0.1103 (f1=936.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 57: Novo melhor! F=0.1085 (f1=935.00, f2=3.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 60: Novo melhor! F=0.0957 (f1=934.00, f2=2.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 60: Novo melhor! F=0.0949 (f1=927.00, f2=3.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 60: Novo melhor! F=0.0897 (f1=924.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 61: Novo melhor! F=0.0855 (f1=915.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 142: Novo melhor! F=0.0761 (f1=916.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.80,w2=0.20)] Fim. Melhor F=0.0761 (f1=916.00, f2=3.00, P_cap=0.00)

[GVNS-Pw(w1=0.90,w2=0.10)] Solução inicial: F=1044000.3949 (f1=949.00, f2=51.00, P_cap=1044000.00)
[GVNS-Pw(w1=0.90,w2=0.10)] Iter 0: Novo melhor! F=0.1524 (f1=950.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.90,w2=0.10)] Iter 0: Novo melhor! F=0.1363 (f1=933.00, f2=10.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.90,w2=0.10)] Iter 1: Novo melhor! F=0.1028 (f1=930.00, f2=5.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.90,w2=0.10)] Iter 1: Novo melhor! F=0.0776 (f1=914.00, f2=6.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.90,w2=0.10)] Iter 1: Novo melhor! F=0.0716 (f1=908.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.90,w2=0.10)] Iter 13: Novo melhor! F=0.0699 (f1=910.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.90,w2=0.10)] Iter 54: Novo melhor! F=0.0641 (f1=907.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.90,w2=0.10)] Iter 68: Novo melhor! F=0.0620 (f1=903.00, f2=7.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.90,w2=0.10)] Fim. Melhor F=0.0620 (f1=903.00, f2=7.00, P_cap=0.00)

[GVNS-Pw(w1=1.00,w2=0.00)] Solução inicial: F=1092400.0897 (f1=933.00, f2=42.00, P_cap=1092400.00)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 0: Novo melhor! F=0.0556 (f1=917.00, f2=21.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 0: Novo melhor! F=0.0406 (f1=910.00, f2=25.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 1: Novo melhor! F=0.0385 (f1=909.00, f2=23.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 7: Novo melhor! F=0.0214 (f1=901.00, f2=31.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 14: Novo melhor! F=0.0000 (f1=891.00, f2=18.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 58: Novo melhor! F=-0.0064 (f1=888.00, f2=17.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=1.00,w2=0.00)] Fim. Melhor F=-0.0064 (f1=888.00, f2=17.00, P_cap=0.00)

===== [Pw] Execução 4 / 5 =====

[GVNS-Pw(w1=0.00,w2=1.00)] Solução inicial: F=0.9444 (f1=1383.00, f2=17.00, P_cap=0.00)
[GVNS-Pw(w1=0.00,w2=1.00)] Iter 0: Novo melhor! F=0.0556 (f1=1319.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.00,w2=1.00)] Iter 0: Novo melhor! F=0.0000 (f1=1337.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.00,w2=1.00)] Fim. Melhor F=0.0000 (f1=1337.00, f2=0.00, P_cap=0.00)

[GVNS-Pw(w1=0.10,w2=0.90)] Solução inicial: F=1.3526 (f1=1137.00, f2=26.00, P_cap=0.00)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 0: Novo melhor! F=0.0919 (f1=1087.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 0: Novo melhor! F=0.0878 (f1=1068.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 0: Novo melhor! F=0.0583 (f1=1164.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 1: Novo melhor! F=0.0556 (f1=1151.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 35: Novo melhor! F=0.0468 (f1=1110.00, f2=0.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 47: Novo melhor! F=0.0395 (f1=1076.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 60: Novo melhor! F=0.0340 (f1=1050.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 61: Novo melhor! F=0.0333 (f1=1047.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.10,w2=0.90)] Fim. Melhor F=0.0333 (f1=1047.00, f2=0.00, P_cap=0.00)

[GVNS-Pw(w1=0.20,w2=0.80)] Solução inicial: F=1.2244 (f1=1052.00, f2=26.00, P_cap=0.00)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 0: Novo melhor! F=0.1821 (f1=1213.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 0: Novo melhor! F=0.1761 (f1=1199.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 0: Novo melhor! F=0.1137 (f1=1157.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 7: Novo melhor! F=0.1047 (f1=1136.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 17: Novo melhor! F=0.1043 (f1=1135.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 34: Novo melhor! F=0.0919 (f1=1106.00, f2=0.00, P_cap=0.00) (k=2)
