===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=5.67)] Fim. Melhor F=928.0000 (f1=928.00, f2=5.00, P_cap=0.00)

[GVNS-Pe(eps=7.56)] Solução inicial: F=892168.4444 (f1=924.00, f2=34.00, P_cap=626800.00)
[GVNS-Pe(eps=7.56)] Iter 0: Novo melhor! F=1083.0000 (f1=1083.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 0: Novo melhor! F=979.0000 (f1=979.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 0: Novo melhor! F=960.0000 (f1=960.00, f2=7.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.56)] Iter 3: Novo melhor! F=954.0000 (f1=954.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 4: Novo melhor! F=950.0000 (f1=950.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 20: Novo melhor! F=938.0000 (f1=938.00, f2=6.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.56)] Iter 21: Novo melhor! F=928.0000 (f1=928.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.56)] Iter 40: Novo melhor! F=922.0000 (f1=922.00, f2=6.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=7.56)] Iter 44: Novo melhor! F=915.0000 (f1=915.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 70: Novo melhor! F=912.0000 (f1=912.00, f2=7.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=7.56)] Iter 82: Novo melhor! F=909.0000 (f1=909.00, f2=6.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.56)] Fim. Melhor F=909.0000 (f1=909.00, f2=6.00, P_cap=0.00)

[GVNS-Pe(eps=9.44)] Solução inicial: F=734832.5556 (f1=877.00, f2=24.00, P_cap=588400.00)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=1027.0000 (f1=1027.00, f2=8.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=1026.0000 (f1=1026.00, f2=9.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=992.0000 (f1=992.00, f2=8.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=962.0000 (f1=962.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=945.0000 (f1=945.00, f2=9.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.44)] Iter 2: Novo melhor! F=927.0000 (f1=927.00, f2=4.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.44)] Iter 5: Novo melhor! F=916.0000 (f1=916.00, f2=8.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 8: Novo melhor! F=912.0000 (f1=912.00, f2=7.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.44)] Iter 27: Novo melhor! F=911.0000 (f1=911.00, f2=9.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.44)] Iter 55: Novo melhor! F=910.0000 (f1=910.00, f2=9.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.44)] Fim. Melhor F=910.0000 (f1=910.00, f2=9.00, P_cap=0.00)

[GVNS-Pe(eps=11.33)] Solução inicial: F=744346.6667 (f1=880.00, f2=37.00, P_cap=486800.00)
[GVNS-Pe(eps=11.33)] Iter 0: Novo melhor! F=918.0000 (f1=918.00, f2=10.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 1: Novo melhor! F=909.0000 (f1=909.00, f2=11.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 13: Novo melhor! F=908.0000 (f1=908.00, f2=11.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=11.33)] Iter 14: Novo melhor! F=907.0000 (f1=907.00, f2=11.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=11.33)] Iter 18: Novo melhor! F=905.0000 (f1=905.00, f2=7.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=11.33)] Iter 31: Novo melhor! F=904.0000 (f1=904.00, f2=11.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 45: Novo melhor! F=902.0000 (f1=902.00, f2=8.00, P_cap=0.00) (k=1)
