===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=13.22)] Solução inicial: F=406285.7778 (f1=908.00, f2=23.00, P_cap=307600.00)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=957.0000 (f1=957.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=956.0000 (f1=956.00, f2=13.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=13.22)] Iter 1: Novo melhor! F=930.0000 (f1=930.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 1: Novo melhor! F=917.0000 (f1=917.00, f2=8.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=13.22)] Iter 2: Novo melhor! F=913.0000 (f1=913.00, f2=11.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 15: Novo melhor! F=910.0000 (f1=910.00, f2=11.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=13.22)] Iter 36: Novo melhor! F=907.0000 (f1=907.00, f2=12.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=13.22)] Iter 46: Novo melhor! F=905.0000 (f1=905.00, f2=10.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=13.22)] Iter 49: Novo melhor! F=903.0000 (f1=903.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 50: Novo melhor! F=900.0000 (f1=900.00, f2=12.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=13.22)] Fim. Melhor F=900.0000 (f1=900.00, f2=12.00, P_cap=0.00)

[GVNS-Pe(eps=15.11)] Solução inicial: F=926278.8889 (f1=990.00, f2=41.00, P_cap=666400.00)
[GVNS-Pe(eps=15.11)] Iter 0: Novo melhor! F=931.0000 (f1=931.00, f2=14.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Iter 0: Novo melhor! F=924.0000 (f1=924.00, f2=8.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=15.11)] Iter 0: Novo melhor! F=911.0000 (f1=911.00, f2=13.00, P_cap=0.00) (k=1)
